nohup: ignoring input
Data loaded | train: 200 | val: 40 | split: splitdefault
Trials complétés : 0 / 40 — restants : 40
Epoch 113/300 | train: 0.000912 | val: 0.000658 | lr: 2.50e-06 (no improvement for 21 epochs)
Epoch 114/300 | train: 0.000910 | val: 0.000650 | lr: 2.50e-06 (no improvement for 22 epochs)
Epoch 115/300 | train: 0.000909 | val: 0.000643 | lr: 2.50e-06 (no improvement for 23 epochs)
Epoch 116/300 | train: 0.000909 | val: 0.000647 | lr: 2.50e-06 (no improvement for 24 epochs)
Epoch 117/300 | train: 0.000908 | val: 0.000651 | lr: 2.50e-06 (no improvement for 25 epochs)
Epoch 118/300 | train: 0.000907 | val: 0.000661 | lr: 2.50e-06 (no improvement for 26 epochs)
Epoch 119/300 | train: 0.000907 | val: 0.000658 | lr: 1.25e-06 (no improvement for 27 epochs)
Epoch 120/300 | train: 0.000903 | val: 0.000653 | lr: 1.25e-06 (no improvement for 28 epochs)
Epoch 121/300 | train: 0.000901 | val: 0.000657 | lr: 1.25e-06 (no improvement for 29 epochs)
Epoch 122/300 | train: 0.000897 | val: 0.000659 | lr: 1.25e-06 (no improvement for 30 epochs)
Epoch 123/300 | train: 0.000900 | val: 0.000668 | lr: 1.25e-06 (no improvement for 31 epochs)
Epoch 124/300 | train: 0.000896 | val: 0.000667 | lr: 1.25e-06 (no improvement for 32 epochs)
Epoch 125/300 | train: 0.000894 | val: 0.000658 | lr: 1.25e-06 (no improvement for 33 epochs)
Epoch 126/300 | train: 0.000894 | val: 0.000696 | lr: 1.25e-06 (no improvement for 34 epochs)
Epoch 127/300 | train: 0.000892 | val: 0.000687 | lr: 1.25e-06 (no improvement for 35 epochs)
Epoch 128/300 | train: 0.000897 | val: 0.000636 | lr: 6.25e-07 (no improvement for 36 epochs)
Epoch 129/300 | train: 0.000891 | val: 0.000673 | lr: 6.25e-07 (no improvement for 37 epochs)
Epoch 130/300 | train: 0.000893 | val: 0.000684 | lr: 6.25e-07 (no improvement for 38 epochs)
Epoch 131/300 | train: 0.000896 | val: 0.000674 | lr: 6.25e-07 (no improvement for 39 epochs)
Epoch 132/300 | train: 0.000891 | val: 0.000674 | lr: 6.25e-07 (no improvement for 40 epochs)

Early stopping at epoch 132. Best epoch: 92 (val loss: 0.000621).
Trial   0 | val_loss=0.000621 | epoch=  92 | lr=1.00e-05 | weight_decay=1.00e-05 | dropout_rate=1.00e-01 | noise_std=3.00e-03 | patience=40
Best trial: 0. Best value: 0.000621232:   0%|          | 0/40 [34:35<?, ?it/s]Best trial: 0. Best value: 0.000621232:   2%|▎         | 1/40 [34:35<22:28:51, 2075.17s/it]Training AE3dFCDeep | device=cuda | batch_size=1 | patience=37 | max_epochs=300
Epoch 1/300 | train: 0.222650 | val: 0.187968 | lr: 2.86e-05 ✓ best
Epoch 2/300 | train: 0.146706 | val: 0.102329 | lr: 2.86e-05 ✓ best
Epoch 3/300 | train: 0.073234 | val: 0.050996 | lr: 2.86e-05 ✓ best
Epoch 4/300 | train: 0.039730 | val: 0.029832 | lr: 2.86e-05 ✓ best
Epoch 5/300 | train: 0.025237 | val: 0.019689 | lr: 2.86e-05 ✓ best
Epoch 6/300 | train: 0.017520 | val: 0.013428 | lr: 2.86e-05 ✓ best
Epoch 7/300 | train: 0.013079 | val: 0.009993 | lr: 2.86e-05 ✓ best
Epoch 8/300 | train: 0.009915 | val: 0.008038 | lr: 2.86e-05 ✓ best
Epoch 9/300 | train: 0.007963 | val: 0.006369 | lr: 2.86e-05 ✓ best
Epoch 10/300 | train: 0.006874 | val: 0.004986 | lr: 2.86e-05 ✓ best
Epoch 11/300 | train: 0.005515 | val: 0.004397 | lr: 2.86e-05 ✓ best
Epoch 12/300 | train: 0.004764 | val: 0.003883 | lr: 2.86e-05 ✓ best
Epoch 13/300 | train: 0.004214 | val: 0.003492 | lr: 2.86e-05 ✓ best
Epoch 14/300 | train: 0.003799 | val: 0.002698 | lr: 2.86e-05 ✓ best
Epoch 15/300 | train: 0.003625 | val: 0.002499 | lr: 2.86e-05 ✓ best
Epoch 16/300 | train: 0.003266 | val: 0.002154 | lr: 2.86e-05 ✓ best
Epoch 17/300 | train: 0.002978 | val: 0.002052 | lr: 2.86e-05 ✓ best
Epoch 18/300 | train: 0.002715 | val: 0.001819 | lr: 2.86e-05 ✓ best
Epoch 19/300 | train: 0.002763 | val: 0.002191 | lr: 2.86e-05 (no improvement for 1 epochs)
Epoch 20/300 | train: 0.002599 | val: 0.001796 | lr: 2.86e-05 ✓ best
Epoch 21/300 | train: 0.002416 | val: 0.001495 | lr: 2.86e-05 ✓ best
Epoch 22/300 | train: 0.002330 | val: 0.001424 | lr: 2.86e-05 ✓ best
Epoch 23/300 | train: 0.002237 | val: 0.001344 | lr: 2.86e-05 ✓ best
Epoch 24/300 | train: 0.002119 | val: 0.001394 | lr: 2.86e-05 (no improvement for 1 epochs)
Epoch 25/300 | train: 0.002042 | val: 0.001314 | lr: 2.86e-05 ✓ best
Epoch 26/300 | train: 0.001943 | val: 0.001756 | lr: 2.86e-05 (no improvement for 1 epochs)
Epoch 27/300 | train: 0.001939 | val: 0.001210 | lr: 2.86e-05 ✓ best
